veryneg:0	neg:13	pos:1	verypos:1	article1	http://www.latimes.com/business/la-fi-citi-bailout9-2010apr09,0,3260780.story	Two former Citigroup executives apologize for crisis and bailout - latimes.com	Apr 8, 2010
veryneg:0	neg:1	pos:1	verypos:0	article2	http://jutiagroup.com/2010/04/09/market-morning-citigroup-nysec-goldman-sachs-nysegs-jpmorgan-chase-nysejpm-morgan-stanley-nysems-bank-of-america-nysebac/	Market Morning: Citigroup (NYSE:C), Goldman Sachs (NYSE:GS), JPMorgan Chase (NYSE:JPM), Morgan Stanley (NYSE:MS), Bank of America (NYSE:BAC)  | Jutia Group	Apr 8, 2010
veryneg:0	neg:2	pos:0	verypos:0	article3	http://www.tradingmarkets.com/news/stock-alert/c_goog_mee_pfe_complimentary-analyst-research-on-massey-energy-co-nyse-mee-citigroup-inc-nyse-c-google--899505.html	Complimentary Analyst Research on Massey Energy Co. (NYSE: MEE),Citigroup, Inc. (NYSE: C), Google, Inc. (NASDAQ: GOOG), Pfizer  | TradingMarkets.com	Apr 8, 2010
veryneg:0	neg:0	pos:0	verypos:0	article4	http://alphaearnings.com/news/3542474	Earnings Preview : Citigroup Inc (NYSE:C) First Quarter 2010 | AlphaEarnings.com	Apr 8, 2010
veryneg:0	neg:2	pos:0	verypos:0	article5	http://www.businesswire.com/news/home/20100407006489/en	Zacks Analyst Blog Highlights: Citigroup Inc., JPMorgan Chase and Co., Bank of America Corp., Wells Fargo & Co. and Goldman Sachs Group Inc. | Business Wire	Apr 7, 2010
veryneg:0	neg:2	pos:2	verypos:0	article6	http://jutiagroup.com/2010/04/07/market-updates-goldman-sachs-nysegs-citigroup-nysec-sony-nysesne-family-dollar-nysefdo-monsanto-nysemon/	Market Updates: Goldman Sachs (NYSE:GS), Citigroup (NYSE:C), Sony (NYSE:SNE), Family Dollar (NYSE:FDO), Monsanto (NYSE:MON)  | Jutia Group	Apr 7, 2010
veryneg:0	neg:0	pos:0	verypos:0	article7	http://www.twst.com/yagoo/PayneThree.html	President Of Investment Advisory Fund Picks Top Stock Winners And Talks Market Outlook For Investors	Apr 7, 2010
veryneg:0	neg:5	pos:0	verypos:0	article8	http://www.americanbankingnews.com/2010/04/06/citigroup-nyse-c-cust-earnings-estimates-on-goldman-sachs-nyse-gs-morgan-stanley-nyse-ms/	Citigroup (NYSE: C) Cuts Earnings Estimates On Goldman Sachs (NYSE: GS), Morgan Stanley (NYSE: MS) - American Banking News	Apr 6, 2010
veryneg:0	neg:0	pos:1	verypos:0	article9	http://www.istockanalyst.com/mobile/viewarticle.aspx?articleid=4006234	Citigroup (NYSE:C): Earnings Preview First Quarter 2010 | iStockAnalyst.com	Apr 6, 2010
veryneg:0	neg:0	pos:0	verypos:0	article10	http://www.smartmoney.com/Investing/Stocks/Market-Update-Tuesday-Apr-6-2010-21798	Will Federal Reserve Policies Cause Inflation? - Investing - Stocks - SmartMoney.com	Apr 6, 2010
veryneg:0	neg:6	pos:2	verypos:0	article11	http://www.marketwatch.com/story/former-citigroup-ceo-says-hes-sorry-for-crisis-2010-04-08?dist=afterbell	Ex-Citigroup execs Prince, Rubin draw criticism - MarketWatch	Apr 5, 2010
